DATE,DAY,MONTH,QUARTER,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
09-Jun-26,Tuesday,June,Q2,2026,EQ,"1,269.00","1,274.20","1,257.50","1,263.30","1,272.30","1,269.20","1,264.75","1,611.80","1,257.50","2,36,20,214","29,87,37,31,086.30","2,73,651"
08-Jun-26,Monday,June,Q2,2026,EQ,"1,277.00","1,282.60","1,259.20","1,291.00","1,262.80","1,263.30","1,271.90","1,611.80","1,259.20","1,64,94,759","20,97,96,89,703.10","3,03,591"
05-Jun-26,Friday,June,Q2,2026,EQ,"1,304.50","1,306.00","1,288.00","1,303.70","1,291.40","1,291.00","1,294.80","1,611.80","1,288.00","1,77,85,223","23,02,83,93,410.00","3,56,802"
04-Jun-26,Thursday,June,Q2,2026,EQ,"1,301.00","1,311.20","1,293.10","1,313.20","1,308.00","1,303.70","1,303.16","1,611.80","1,290.00","2,34,74,327","30,59,07,35,365.60","3,18,716"
03-Jun-26,Wednesday,June,Q2,2026,EQ,"1,315.00","1,324.00","1,301.00","1,314.60","1,312.60","1,313.20","1,309.61","1,611.80","1,290.00","2,00,12,293","26,20,82,26,472.80","3,80,780"
02-Jun-26,Tuesday,June,Q2,2026,EQ,"1,307.70","1,327.80","1,300.30","1,320.00","1,321.00","1,314.60","1,313.43","1,611.80","1,290.00","2,33,02,785","30,60,65,99,536.00","3,62,323"
01-Jun-26,Monday,June,Q2,2026,EQ,"1,332.50","1,335.50","1,318.50","1,321.20","1,320.20","1,320.00","1,324.32","1,611.80","1,290.00","1,07,00,603","14,17,09,74,474.50","2,12,031"
29-May-26,Friday,May,Q2,2026,EQ,"1,364.00","1,369.00","1,317.00","1,350.50","1,321.90","1,321.20","1,330.58","1,611.80","1,290.00","4,26,34,247","56,72,84,19,201.10","3,09,971"
27-May-26,Wednesday,May,Q2,2026,EQ,"1,353.00","1,361.00","1,348.60","1,356.30","1,352.00","1,350.50","1,354.62","1,611.80","1,290.00","1,32,15,138","17,90,14,99,784.80","2,30,257"
26-May-26,Tuesday,May,Q2,2026,EQ,"1,360.10","1,368.50","1,352.40","1,367.00","1,357.00","1,356.30","1,359.22","1,611.80","1,290.00","1,37,69,747","18,71,61,37,070.80","1,48,444"
25-May-26,Monday,May,Q2,2026,EQ,"1,366.80","1,371.10","1,357.00","1,354.50","1,366.40","1,367.00","1,363.11","1,611.80","1,290.00","67,50,071","9,20,10,71,110.90","1,39,554"
